Lichen metagenomes	Source	Produced	Run	Batch	architecture	family	order	class	photobiont
Acarospora_spec	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1882	second	crust		Acarosporales	Lecanoromycetes	trebouxioid
Hypocenomyce_scalaris	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1881	second	crust		Umbilicariales	Lecanoromycetes	trebouxioid
Bachmanniomyces_S44760	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1894	second	crust		Ostropomycetidae ins. ced.	Lecanoromycetes	?
Lignoscripta_atroalba	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1887	second	crust		Schaereriales	Lecanoromycetes	trebouxioid
Loxospora_cismonica	Resl et al. 2021	"Spribille Lab, University of Alberta"	X13	second	crust		Sarrameanales	Lecanoromycetes	trebouxioid
Mycoblastus_sanguinarius	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1914	second	crust	Tephromelataceae	Lecanorales	Lecanoromycetes	trebouxioid
Ptychographa_xylographoides	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1868	second	crust		Baeomycetales	Lecanoromycetes	trebouxioid
Puttea_exsequens	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1888	second	crust		Lecanorales	Lecanoromycetes	trebouxioid
Schaereria_dolodes	Resl et al. 2021	"Spribille Lab, University of Alberta"	X15	second	crust		Schaereriales	Lecanoromycetes	trebouxioid
Thelotrema_lepadinum	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1916	second	crust		Gyalectales	Lecanoromycetes	trentepohlioid
Toensbergia_leucococca	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1904	second	crust		Rhizocarpales	Lecanoromycetes	trebouxioid
Varicellaria_rhodocarpa	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1912	second	crust		Pertusariales	Lecanoromycetes	trebouxioid
Xylographa_carneopallida	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1889	second	crust		Baeomycetales	Lecanoromycetes	trebouxioid
Xylographa_vitiligo	Resl et al. 2021	"Spribille Lab, University of Alberta"	T1867	second	crust		Baeomycetales	Lecanoromycetes	trebouxioid
Gomphillus americanus	Tagirdzhanova et al. 2021a	"Spribille Lab, University of Alberta"	GTX0158	second	crust		Gyalectales	Lecanoromycetes	trebouxioid
Alectoria fallacina	Tagirdzhanova et al. 2021a	"Spribille Lab, University of Alberta"	GTX0161	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Heterodermia speciosa	Tagirdzhanova et al. 2021a	"Spribille Lab, University of Alberta"	GTX0163	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Imshaugia aleurites	Tagirdzhanova et al. 2021a	"Spribille Lab, University of Alberta"	TS1974	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Xanthoparmelia neocumberlandia	Smith et al. 2020	Brigham Young University	SRR12240174	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Xanthoparmelia aff.chlorochroa	Smith et al. 2020	Brigham Young University	SRR12240180	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Physciella chloantha	Smith et al. 2020	Brigham Young University	SRR12240182	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Mobergia calculiformis	Smith et al. 2020	Brigham Young University	SRR12240185	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Physcia biziana	Smith et al. 2020	Brigham Young University	SRR12240183	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Peltigera malacea	Cornet et al. 2021	"Sequenced in University of Iowa, Submitted by University of Liege"	SRR11456913	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano
Peltigera extenuata	Cornet et al. 2021	"Sequenced in University of Iowa, Submitted by University of Liege"	SRR11456914	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano
Peltigera aphthosa	Cornet et al. 2021	"Sequenced in University of Iowa, Submitted by University of Liege"	SRR11456915	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	trebouxioid_cyano
Peltigera phyllidiosa	Cornet et al. 2021	"Sequenced in Duke University, Submitted by University of Liege"	SRR11456917	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano
Solorina crocea	Cornet et al. 2021	"Sequenced in Duke University, Submitted by University of Liege"	SRR11456919	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	trebouxioid_cyano
Peltigera evansiana	Cornet et al. 2021	"Sequenced in University of Iowa, Submitted by University of Liege"	SRR11456921	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	trebouxioid_cyano
Letharia lupina	Tuovinen et al. 2019	Uppsala University	SRR7232214	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Letharia columbiana	Tuovinen et al. 2019	Uppsala University	SRR7232213	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Letharia rugosa	Tuovinen et al. 2019	Uppsala University	SRR7232212	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Letharia vulpina	Tuovinen et al. 2019	Uppsala University	SRR7232211	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Evernia prunastri	Meiser et al. 2017	Senckenberg Biodiversity and Climate Research Centre	SRR5808930	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Pseudevernia furfuracea	Meiser et al. 2017	Senckenberg Biodiversity and Climate Research Centre	SRR5808932	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Arthonia susa	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685140	first	crust		Arthoniales	Arthoniomycetes	trentepohlioid
Opegrapha vulgata	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685142	first	crust		Arthoniales	Arthoniomycetes	trentepohlioid
Lecanora cinereofusca	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685153	first	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	trebouxioid
Gomphillus americanus	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685154	first	crust		Gyalectales	Lecanoromycetes	trebouxioid
Phyllopsora corallina	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685157	first	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	trebouxioid
Phlyctis boliviensis	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685158	first	crust		Gyalectales	Lecanoromycetes	trebouxioid
Icmadophila ericetorum	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685159	first	crust		Pertusariales	Lecanoromycetes	trebouxioid
Heterodermia casarettiana	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685161	first	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Usnea subfusca	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685162	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Menegazzia subsimilis	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685163	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Usnea ceratina	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685164	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Usnea cornuta	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR13685165	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Enchylium coccophorum	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721921	second	macro		Peltigerales	Lecanoromycetes	cyano
Heterodermia albicans	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721922	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Acanthothecis fontana	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721923	second	crust	Graphidaceae Dumort.	Gyalectales	Lecanoromycetes	trentepohlioid
Placidium arboreum	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721924	second	crust		Verrucariales	Eurotiomycetes	trebouxioid
Heterodermia speciosa	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721925	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Buellia mamillana	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721926	second	crust		Caliciales	Lecanoromycetes	trebouxioid
Crespoa crozalsiana	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721927	second	crust	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
Leptogium hirsutum	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721928	second	macro		Peltigerales	Lecanoromycetes	cyano
Buellia stillingiana	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721929	second	crust		Caliciales	Lecanoromycetes	trebouxioid
Leptogium corticola	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721930	second	macro		Peltigerales	Lecanoromycetes	cyano
Phaeophyscia rubropulchra	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721931	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid
Thelotrema subtile	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721932	second	crust		Gyalectales	Lecanoromycetes	trentepohlioid
Bathelium carolinianum	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721933	second	crust		Strigulales	Dothideomycetes	trentepohlioid
Sporodophoron americanum	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721934	second	crust		Arthoniales	Arthoniomycetes	trentepohlioid
Parmotrema submarginale	Lendemer et al. 2019	"University of Colorado, Boulder"	SRR14721935	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid
