run_accession	lat	long
SRR1531517	35.08	-80.9
SRR1531569	35.98	-78.39
SRR1531545	35.99	-79.01
SRR1532736	36.01	-78.9
SRR2387885	41.0461	9.4461
SRR5808930	59.42553	10.60794
SRR5808932	41.141758	-3.306956
SRR7232211	47.3	-114.8
SRR7232212	47.2	-113.9
SRR7232213	46.83	-114.1
SRR7232214	47.4	-113.64
SRR11456913	58	-111
SRR11456914	58	-111
SRR11456915	58	-111
SRR11456917	35	-84
SRR11456918	8.8	-82.55
SRR11456919	68	24
SRR11456921	47	-88
SRR11456922	46	-63
SRR11456923	45	-63
SRR14721921	34.97797	-85.81031
SRR14721922	34.97797	-85.81031
SRR14721923	34.97797	-85.81031
SRR14721924	34.97797	-85.81031
SRR14721925	34.97797	-85.81031
SRR14721926	34.35056	-85.67525
SRR14721927	34.35056	-85.67525
SRR14721928	34.35056	-85.67525
SRR14721929	35.4675	-83.5617
SRR14721930	34.35056	-85.67525
SRR14721931	34.35056	-85.67525
SRR14721932	34.35056	-85.67525
SRR14721933	34.35056	-85.67525
SRR14721934	34.35056	-85.67525
SRR14721935	34.4717	-86.0511
SRR14721936	34.45592	-85.58447
SRR14721937	34.45592	-85.58447
SRR14721938	34.36786	-85.62986
SRR14721939	34.36786	-85.62986
SRR14721941	34.3736	-85.6922
SRR14721942	34.3736	-85.6922
SRR14721943	34.3736	-85.6922
SRR14721944	34.36786	-85.62986
SRR14721945	34.36786	-85.62986
SRR14721946	34.3736	-85.6922
SRR14721947	34.36786	-85.62986
SRR14721948	34.3736	-85.6922
SRR14721949	34.3736	-85.6922
SRR14721950	34.47731	-86.0583
SRR14721952	35.4828	-83.5597
SRR14721953	34.3736	-85.6922
SRR14721954	34.3736	-85.6922
SRR14721955	34.3736	-85.6922
SRR14721956	34.3736	-85.6922
SRR14721957	34.3736	-85.6922
SRR14721958	34.3736	-85.6922
SRR14721959	34.3736	-85.6922
SRR14721960	34.4717	-86.0511
SRR14721961	34.4717	-86.0511
SRR14721962	34.4717	-86.0511
SRR14721964	34.4717	-86.0511
SRR14721965	34.4717	-86.0511
SRR14721966	34.4717	-86.0511
SRR14721967	34.4717	-86.0511
SRR14721968	34.4717	-86.0511
SRR14721969	34.4717	-86.0511
SRR14721970	34.4717	-86.0511
SRR14721971	34.4717	-86.0511
SRR14721972	34.4717	-86.0511
SRR14721973	34.4717	-86.0511
SRR14721974	35.585	-83.4747
SRR14721975	34.4717	-86.0511
SRR14721976	34.47731	-86.0583
SRR14721977	34.47731	-86.0583
SRR14721978	34.47731	-86.0583
SRR14721979	34.47731	-86.0583
SRR14721980	34.47731	-86.0583
SRR14721981	34.47731	-86.0583
SRR14721982	34.47731	-86.0583
SRR14721983	34.47731	-86.0583
SRR14721984	34.47731	-86.0583
SRR14721985	35.585	-83.4747
SRR14721986	34.47731	-86.0583
SRR14721987	34.47731	-86.0583
SRR14721988	34.47731	-86.0583
SRR14721989	34.47731	-86.0583
SRR14721990	34.47731	-86.0583
SRR14721991	35.0233	-83.1706
SRR14721992	35.0253	-83.1747
SRR14721993	35.0261	-83.1778
SRR14721994	35.0261	-83.1778
SRR14721995	35.0253	-83.1747
SRR14721996	35.5631	-83.4983
SRR14721997	35.0261	-83.1778
SRR14721998	35.0261	-83.1778
SRR14721999	35.0261	-83.1778
SRR14722000	35.0261	-83.1778
SRR14722001	35.1036	-83.2075
SRR14722002	35.1058	-83.2033
SRR14722003	35.1036	-83.2075
SRR14722004	35.1036	-83.2075
SRR14722005	35.0253	-83.1747
SRR14722006	35.0253	-83.1747
SRR14722007	35.5631	-83.4983
SRR14722008	35.0253	-83.1747
SRR14722009	35.0253	-83.1747
SRR14722010	35.0253	-83.1747
SRR14722011	35.1036	-83.2075
SRR14722012	35.1036	-83.2075
SRR14722013	35.1036	-83.2075
SRR14722014	35.1036	-83.2075
SRR14722015	35.1036	-83.2075
SRR14722016	35.1036	-83.2075
SRR14722017	35.1036	-83.2075
SRR14722018	35.61	-83.4467
SRR14722019	35.1036	-83.2075
SRR14722020	35.1036	-83.2075
SRR14722021	35.1036	-83.2075
SRR14722022	35.1036	-83.2075
SRR14722023	35.1036	-83.2075
SRR14722024	35.7314	-79.1053
SRR14722025	35.1058	-83.2033
SRR14722026	35.1058	-83.2033
SRR14722028	35.1058	-83.2033
SRR14722029	35.61	-83.4467
SRR14722030	35.1058	-83.2033
SRR14722031	35.1058	-83.2033
SRR14722032	35.1058	-83.2033
SRR14722033	35.5994	-83.1033
SRR14722034	35.5994	-83.1033
SRR14722035	35.5994	-83.1033
SRR14722036	35.5994	-83.1033
SRR14722037	35.5994	-83.1033
SRR14722038	35.5994	-83.1033
SRR14722039	35.65324	-83.43169
SRR14722040	35.61	-83.4467
SRR14722041	35.65324	-83.43169
SRR14722043	35.5325	-83.4256
SRR14722044	35.5394	-83.4547
SRR14722045	35.57954	-83.15427
SRR14722046	35.654972	-83.445984
SRR14722047	35.5575	-83.7417
SRR14722048	35.54919	-83.50379
SRR14722049	35.54919	-83.50379
SRR14722050	35.685	-83.2714
SRR14722051	35.585	-83.4747
SRR14722052	35.6431	-83.8036
SRR14722053	35.5411	-83.5764
SRR14722054	35.5411	-83.5764
SRR14722055	35.4961	-83.6183
SRR14722056	35.4961	-83.6183
SRR14722057	35.54919	-83.50379
SRR14722058	35.4961	-83.6183
SRR14722060	34.3828	-85.6289
SRR14722061	35.54919	-83.50379
SRR14722062	35.4675	-83.5617
SRR14722063	35.4828	-83.5597
SRR14722064	35.65324	-83.43169
SRR14722065	35.65324	-83.43169
SRR14722067	34.3839	-85.6306
SRR14722068	35.5128	-83.7206
SRR14722069	34.3672	-85.64
SRR14722070	35.545	-83.5828
SRR14722071	35.6956	-83.2486
SRR14722072	35.4894	-83.5608
SRR14722073	35.76436	-83.14492
SRR14722074	35.4675	-83.5617
SRR14722075	35.6431	-83.8036
SRR14722076	35.577503	-83.15427
SRR14722077	35.5394	-83.4547
SRR14722078	35.483513	-83.81476
SRR14722079	35.475204	-83.81014
SRR14722080	35.475204	-83.81014
SRR14722081	35.475204	-83.81014
SRR14722082	35.483513	-83.81476
SRR14722083	35.483513	-83.81476
SRR14722084	35.475204	-83.81014
SRR14722085	35.4675	-83.5617
SRR14722086	35.483513	-83.81476
SRR14722087	35.483513	-83.81476
SRR14722088	35.483513	-83.81476
SRR14722089	35.483513	-83.81476
SRR14722090	35.483513	-83.81476
SRR14722091	35.475204	-83.81014
SRR14722092	35.483513	-83.81476
SRR14722093	35.475204	-83.81014
SRR14722094	35.483513	-83.81476
SRR14722095	35.483513	-83.81476
SRR14722096	35.4675	-83.5617
SRR14722097	35.475204	-83.81014
SRR14722098	35.483513	-83.81476
SRR14722099	35.483513	-83.81476
SRR14722100	35.475204	-83.81014
SRR14722101	35.483513	-83.81476
SRR14722102	35.475204	-83.81014
SRR14722103	35.483513	-83.81476
SRR14722104	35.475204	-83.81014
SRR14722105	35.483513	-83.81476
SRR14722106	35.483513	-83.81476
SRR14722107	35.4675	-83.5617
SRR14722108	35.475204	-83.81014
SRR14722109	38.5569	-78.395
SRR14722110	38.2281	-78.7506
SRR14722111	35.0683	-83.2386
SRR14722112	35.1097	-83.1978
SRR14722113	35.7147	-82.2694
SRR14722114	35.1356	-83.1911
SRR14722115	35.1356	-83.1911
SRR14722116	35.4372	-83.7481
SRR14722117	35.1356	-83.1911
SRR14722118	35.5631	-83.4983
SRR14722119	35.1356	-83.1911
SRR14722120	35.1356	-83.1911
SRR14722121	35.1356	-83.1911
SRR14722122	35.6261	-83.5003
SRR14722123	35.6261	-83.5003
SRR14722124	35.6261	-83.5003
SRR14722125	35.6261	-83.5003
SRR14722126	35.6261	-83.5003
SRR14722127	35.1356	-83.1911
SRR14722128	35.585	-83.4747
SRR14722129	35.5631	-83.4983
SRR14722130	35.4292	-83.7547
SRR14722131	35.4292	-83.7547
SRR14722132	35.4069	-83.7647
SRR14722133	35.4069	-83.7647
SRR14722134	35.4069	-83.7647
SRR14722135	35.4069	-83.7647
SRR14722136	35.4072	-83.5931
SRR14722137	35.4072	-83.5931
SRR14722138	35.4072	-83.5931
SRR14722139	35.4072	-83.5931
SRR14722140	35.5631	-83.4983
SRR14722141	35.4072	-83.5931
SRR14722142	35.4072	-83.5931
SRR14722143	35.4072	-83.5931
SRR14722144	35.4072	-83.5931
SRR14722145	35.4072	-83.5931
SRR14722146	35.4069	-83.7647
SRR14722147	35.3669	-83.6289
SRR14722148	35.4072	-83.5931
SRR14722149	35.4072	-83.5931
SRR14722150	35.1356	-83.1911
SRR14722151	35.585	-83.4747
SRR14722152	35.4292	-83.7547
SRR14722153	35.4292	-83.7547
SRR14722154	35.4292	-83.7547
SRR14722155	35.1356	-83.1911
SRR14722156	35.1356	-83.1911
SRR14722157	35.1356	-83.1911
SRR14722158	35.1356	-83.1911
SRR14722159	35.1356	-83.1911
SRR14722160	35.1356	-83.1911
SRR14722161	35.4372	-83.7481
SRR14722162	35.5631	-83.4983
SRR14722163	35.1356	-83.1911
SRR14722164	35.1356	-83.1911
SRR14722165	35.1356	-83.1911
SRR14722166	35.4372	-83.7481
SRR14722167	35.1356	-83.1911
SRR14722168	35.3272	-83.9931
SRR14722169	35.3272	-83.9931
SRR14722170	35.1356	-83.1911
SRR14722171	35.1356	-83.1911
SRR14722172	35.4372	-83.7481
SRR14722173	35.5631	-83.4983
SRR14722174	35.4828	-83.5597
SRR14722175	35.4828	-83.5597
SRR14722176	35.4372	-83.7481
SRR14722177	35.3094	-84.0261
SRR14722178	35.4372	-83.7481
SRR14722179	35.4372	-83.7481
SRR14722180	35.4372	-83.7481
SRR14722181	35.1081	-83.18
SRR14722182	35.4372	-83.7481
SRR14722183	35.4372	-83.7481
SRR14722184	35.3094	-84.0261
SRR14722185	35.47	-83.5583
SRR14722186	35.4675	-83.5617
SRR14722187	35.4828	-83.5597
SRR14722188	35.5631	-83.4983
SRR14722195	35.4675	-83.5617
SRR14722197	35.4675	-83.5617
SRR14722200	35.61	-83.4467
SRR14722201	35.61	-83.4467
SRR14722202	35.61	-83.4467
SRR14722208	35.47	-83.5583
SRR14722209	35.4828	-83.5597
SRR14722210	35.4828	-83.5597
SRR14722213	35.4828	-83.5597
SRR14722215	35.4828	-83.5597
SRR14722219	35.4675	-83.5617
SRR14722220	35.47	-83.5583
SRR14722221	35.47	-83.5583
SRR14722222	35.47	-83.5583
SRR14722225	35.585	-83.4747
SRR14722229	35.5631	-83.4983
SRR14722230	35.4675	-83.5617
SRR14722231	35.5631	-83.4983
SRR14722232	35.5631	-83.4983
SRR14722233	35.61	-83.4467
SRR14722251	35.4828	-83.5597
SRR14722272	34.308	-87.50314
SRR14722274	34.308	-87.50314
SRR14722275	34.308	-87.50314
SRR14722276	34.308	-87.50314
SRR14722277	34.308	-87.50314
SRR14722278	34.308	-87.50314
SRR14722279	34.308	-87.50314
SRR14722280	34.308	-87.50314
SRR14722281	34.308	-87.50314
SRR14722282	34.308	-87.50314
SRR14722283	34.308	-87.50314
SRR14722285	34.308	-87.50314
SRR14722286	34.308	-87.50314
SRR14722287	34.308	-87.50314
SRR14722288	34.308	-87.50314
SRR14722289	34.308	-87.50314
SRR14722290	34.32911	-87.50922
SRR14722291	34.32911	-87.50922
SRR14722292	34.32911	-87.50922
SRR14722293	34.32911	-87.50922
SRR14722294	34.32911	-87.50922
SRR14722296	34.32911	-87.50922
SRR14722297	34.32911	-87.50922
SRR14722298	34.3092	-87.3947
SRR14722299	34.32911	-87.50922
SRR14722300	34.32911	-87.50922
SRR14722301	34.32911	-87.50922
SRR14722302	34.32911	-87.50922
SRR14722303	34.32911	-87.50922
SRR14722304	34.97881	-86.08822
SRR14722305	34.97881	-86.08822
SRR14722307	34.97881	-86.08822
SRR14722308	34.97881	-86.08822
SRR14722309	34.35056	-85.67525
SRR14722310	34.94025	-85.97656
SRR14722311	34.95553	-85.99956
SRR14722312	34.95553	-85.99956
SRR14722313	34.95553	-85.99956
SRR14722314	34.95553	-85.99956
SRR14722315	34.95553	-85.99956
SRR14722316	34.95553	-85.99956
SRR14722318	34.95553	-85.99956
SRR14722319	34.95553	-85.99956
SRR14722320	34.95553	-85.99956
SRR14722321	34.95553	-85.99956
SRR14722322	34.95553	-85.99956
SRR14722323	34.95553	-85.99956
SRR14722324	34.95553	-85.99956
SRR14722325	34.95553	-85.99956
SRR14722326	34.95553	-85.99956
SRR14722327	34.97797	-85.81031
SRR14722329	34.97797	-85.81031
SRR14722330	34.97797	-85.81031
T1914	54.620266	-104.365265
X13	44.0301	-71.51789
T1887	53.339535	-117.819725
T1894	53.54112	-117.121445
T1867	54.7656	-115.53474
T1889	53.54112	-117.121445
T1912	62.699615	-116.1392
T1904	54.635033	-104.56195
T1916	51.2584	-118.32066
T1881	53.54112	-117.121445
X15	47.17965	-113.95163
T1888	56.584167	-119.70972
T1868	53.4593	-118.2515
T1882	52.789925	-112.70797
ERR4179389	47.384444	15.575
ERR4179390	47.543056	14.627222
ERR4179391	47.384444	15.575
SRR12240174	37.5	-108.5
SRR12240175	38.1	-111.5
SRR12240177	32.6	-113
SRR12240178	32.8	-117.1
SRR12240179	36.2	-113.3
SRR12240180	40.1	-110.3
SRR12240181	38.9	-114.2
SRR12240182	38.9	-114.2
SRR12240183	38.9	-114.2
SRR12240184	39.2	-113.4
SRR12240185	30	-115
SRR12240187	43	-106.8
SRR12240188	41.2	-115.3
SRR13125477	-11.7	-75.5
SRR13125762	-62	-58.1
SRR13167197	39	-111
SRR13125985	-35.5	149
SRR13126647	-35.5	149
SRR13126796	49.4	75.4
SRR13126828	-35.5	149
SRR13126859	-35.5	149
SRR13685140	34.3828	-85.6289
SRR13685142	35.4675	-83.5617
SRR13685153	35.4675	-83.5617
