Sequence_ID	Name	Sequence_source	Lichen_species	Source_metagenome	Role	Primary_photobiont_of_the_lichen
MF465900.1	MF465900.1 Coccomyxa antarctica isolate FACHB 2140	Literature	Usnea aurantiacoatra	NA	non-photobiont-lichen	Trebouxia
MZ868176.1	MZ868176.1 Coccomyxa viridis isolate NEM_5P	Literature	Hypotrachyna adducta	NA	non-photobiont-lichen	Trebouxia
SRR14721952_NODE_459549_length_239_cov_0.891304	SRR14721952_NODE_459549_length_239_cov_0.891304 Coccomyxa from Cladonia ochrochlora metagenome from Cladonia ochrochlora	Lichen metagenome	Cladonia ochrochlora	SRR14721952	epiphyte	Trebouxia
SRR14722085_NODE_344107_length_246_cov_1.439791	SRR14722085_NODE_344107_length_246_cov_1.439791 Coccomyxa from Pseudosagedia rhaphidosperma metagenome from Pseudosagedia rhaphidosperma	Lichen metagenome	Pseudosagedia rhaphidosperma	SRR14722085	epiphyte	Trentepohlia 
SRR14722109_NODE_16278_length_366_cov_2.424437	SRR14722109_NODE_16278_length_366_cov_2.424437 Coccomyxa from Pertusaria andersoniae metagenome from Pertusaria andersoniae	Lichen metagenome	Pertusaria andersoniae	SRR14722109	epiphyte	Trebouxia 
SRR14722152_NODE_16995_length_2223_cov_9.128690	SRR14722152_NODE_16995_length_2223_cov_9.128690 Coccomyxa from Micarea neostipitata metagenome from Micarea neostipitata	Lichen metagenome	Micarea neostipitata	SRR14722152	photobiont	Coccomyxa
SRR14722130_NODE_390512_length_364_cov_2.113269	SRR14722130_NODE_390512_length_364_cov_2.113269 Coccomyxa from Parmotrema hypotropum metagenome from Parmotrema hypotropum	Lichen metagenome	Parmotrema hypotropum	SRR14722130	epiphyte	Trebouxia 
SRR14722143_NODE_978908_length_216_cov_1.192547	SRR14722143_NODE_978908_length_216_cov_1.192547 Coccomyxa from Zwackhia viridis metagenome from Zwackhia viridis	Lichen metagenome	Zwackhia viridis	SRR14722143	epiphyte	Trentepohlia 
SRR14722221_NODE_371689_length_260_cov_0.936585	SRR14722221_NODE_371689_length_260_cov_0.936585 Coccomyxa from Megalospora porphyritis metagenome from Megalospora porphyritis	Lichen metagenome	Megalospora porphyritis	SRR14722221	epiphyte	Symbiochloris 
SRR14722154_NODE_15722_length_1644_cov_7.043424	SRR14722154_NODE_15722_length_1644_cov_7.043424 Coccomyxa from Lecanora strobilina metagenome from Lecanora strobilina	Lichen metagenome	Lecanora strobilina	SRR14722154	epiphyte	Trebouxia 
SRR14722172_NODE_109149_length_854_cov_3.964956	SRR14722172_NODE_109149_length_854_cov_3.964956 Coccomyxa from Chrysothrix xanthina metagenome from Chrysothrix xanthina	Lichen metagenome	Chrysothrix xanthina	SRR14722172	epiphyte	Trebouxia 
SRR13685149_NODE_169643_length_413_cov_17.005587	SRR13685149_NODE_169643_length_413_cov_17.005587 Coccomyxa from Mycocalicium subtile metagenome from Mycocalicium subtile	Lichen metagenome	Mycocalicium subtile	SRR13685149	epiphyte	None
SRR14722135_NODE_169643_length_413_cov_17.005587	SRR14722135_NODE_169643_length_413_cov_17.005587 Coccomyxa from Mycocalicium subtile metagenome from Mycocalicium subtile	Lichen metagenome	Mycocalicium subtile	SRR14722135	epiphyte	None
ERR4179390_NODE_3633558_length_161_cov_8.839623	ERR4179390_NODE_3633558_length_161_cov_8.839623 Coccomyxa from Lobaria pulmonaria metagenome from Lobaria pulmonaria	Lichen metagenome	Lobaria pulmonaria	ERR4179390	epiphyte	Symbiochloris 
SRR14722188_NODE_1026624_length_247_cov_1.067708	SRR14722188_NODE_1026624_length_247_cov_1.067708 Coccomyxa from Xylographa vitiligo metagenome from Xylographa vitiligo	Lichen metagenome	Xylographa vitiligo	SRR14722188	epiphyte	Trebouxia 
X4_NODE_31788_length_1143_cov_2.312500	X4_NODE_31788_length_1143_cov_2.312500 Coccomyxa from Pectenia plumbea metagenome from Pectenia plumbea	Lichen metagenome	Pectenia plumbea	X4	epiphyte	Nostoc
