GeneID	InterPro
FUN_000001	
FUN_000002	
FUN_000003	
FUN_000004	
FUN_000005	
FUN_000006	
FUN_000007	
FUN_000008	
FUN_000009	IPR001905 Ammonium transporter;IPR002229 Blood group Rhesus C/E/D polypeptide;IPR018047 Ammonium transporter, conserved site;IPR024041 Ammonium transporter AmtB-like domain;IPR029020 Ammonium/urea transporter
FUN_000010	IPR000719 Protein kinase domain;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site
FUN_000011	
FUN_000012	IPR000796 Aspartate/other aminotransferase;IPR004838 Aminotransferases, class-I, pyridoxal-phosphate-binding site;IPR004839 Aminotransferase, class I/classII;IPR015421 Pyridoxal phosphate-dependent transferase, major domain;IPR015422 Pyridoxal phosphate-dependent transferase, small domain;IPR015424 Pyridoxal phosphate-dependent transferase
FUN_000013	IPR025733 Iron/zinc purple acid phosphatase-like C-terminal domain
FUN_000014	IPR004843 Calcineurin-like phosphoesterase domain, ApaH type;IPR008963 Purple acid phosphatase-like, N-terminal;IPR015914 Purple acid phosphatase, N-terminal;IPR029052 Metallo-dependent phosphatase-like
FUN_000015	IPR011009 Protein kinase-like domain superfamily
FUN_000016	
FUN_000017	IPR000719 Protein kinase domain;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site
FUN_000018	IPR003891 Initiation factor eIF-4 gamma, MA3;IPR016021 None;IPR016024 Armadillo-type fold
FUN_000019	
FUN_000020	IPR000089 Biotin/lipoyl attachment;IPR005479 Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;IPR005481 Biotin carboxylase-like, N-terminal domain;IPR005482 Biotin carboxylase, C-terminal;IPR011053 Single hybrid motif;IPR011054 Rudiment single hybrid motif;IPR011761 ATP-grasp fold;IPR011762 Acetyl-coenzyme A carboxyltransferase, N-terminal;IPR011763 Acetyl-coenzyme A carboxyltransferase, C-terminal;IPR011764 Biotin carboxylation domain;IPR013537 Acetyl-CoA carboxylase, central domain;IPR013815 ATP-grasp fold, subdomain 1;IPR016185 Pre-ATP-grasp domain superfamily;IPR029045 ClpP/crotonase-like domain superfamily;IPR034733 Acetyl-CoA carboxylase
FUN_000021	IPR031336 Cell division control protein 73, C-terminal;IPR038103 Cell division control protein 73, C-terminal domain superfamily
FUN_000022	
FUN_000023	IPR001227 Acyl transferase domain superfamily;IPR006162 Phosphopantetheine attachment site;IPR009081 Phosphopantetheine binding ACP domain;IPR011032 GroES-like superfamily;IPR013149 Alcohol dehydrogenase-like, C-terminal;IPR013601 FAE1/Type III polyketide synthase-like protein;IPR013747 Beta-ketoacyl-[acyl-carrier-protein] synthase III, C-terminal;IPR013968 Polyketide synthase, ketoreductase domain;IPR014030 Beta-ketoacyl synthase, N-terminal;IPR014031 Beta-ketoacyl synthase, C-terminal;IPR014043 Acyl transferase;IPR016035 Acyl transferase/acyl hydrolase/lysophospholipase;IPR016036 Malonyl-CoA ACP transacylase, ACP-binding;IPR016039 Thiolase-like;IPR018201 Beta-ketoacyl synthase, active site;IPR020801 None;IPR020807 Polyketide synthase, dehydratase domain;IPR020841 Polyketide synthase, beta-ketoacyl synthase domain;IPR020843 Polyketide synthase, enoylreductase domain;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily;IPR032821 Polyketide synthase, C-terminal extension;IPR036291 NAD(P)-binding domain superfamily;IPR036736 ACP-like superfamily;IPR042104 Polyketide synthase, dehydratase domain superfamily
FUN_000024	IPR010080 Thioester reductase-like domain;IPR013120 Fatty acyl-coenzyme A reductase, NAD-binding domain;IPR036291 NAD(P)-binding domain superfamily
FUN_000025	
FUN_000026	IPR013601 FAE1/Type III polyketide synthase-like protein;IPR013747 Beta-ketoacyl-[acyl-carrier-protein] synthase III, C-terminal;IPR016039 Thiolase-like
FUN_000027	IPR000719 Protein kinase domain;IPR011009 Protein kinase-like domain superfamily
FUN_000028	IPR001547 Glycoside hydrolase, family 5;IPR017853 Glycoside hydrolase superfamily
FUN_000029	
FUN_000030	IPR010582 Catalase immune-responsive domain;IPR011614 Catalase core domain;IPR018028 Catalase, mono-functional, haem-containing;IPR020835 Catalase superfamily;IPR024711 Catalase, mono-functional, haem-containing, clades 1 and 3;IPR037060 None
FUN_000031	IPR002347 Short-chain dehydrogenase/reductase SDR;IPR036291 NAD(P)-binding domain superfamily
FUN_000032	IPR002347 Short-chain dehydrogenase/reductase SDR;IPR036291 NAD(P)-binding domain superfamily
FUN_000033	
FUN_000034	
FUN_000035	IPR000312 Glycosyl transferase, family 3;IPR005940 Anthranilate phosphoribosyl transferase;IPR017459 Glycosyl transferase family 3, N-terminal domain;IPR035902 Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily;IPR036320 Glycosyl transferase family 3, N-terminal domain superfamily
FUN_000036	IPR004139 Glycosyl transferase, family 13;IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000037	
FUN_000038	
FUN_000039	
FUN_000040	IPR001806 Small GTPase;IPR002048 EF-hand domain;IPR011992 EF-hand domain pair;IPR013567 EF hand associated, type-2;IPR018247 EF-Hand 1, calcium-binding site;IPR020860 MIRO domain;IPR021181 Mitochondrial Rho GTPase;IPR027417 P-loop containing nucleoside triphosphate hydrolase
FUN_000041	
FUN_000042	IPR002187 Nitrogen regulatory protein PII;IPR011322 Nitrogen regulatory PII-like, alpha/beta;IPR015867 Nitrogen regulatory protein PII/ATP phosphoribosyltransferase, C-terminal;IPR017918 Nitrogen regulatory protein PII, conserved site
FUN_000043	IPR002293 Amino acid/polyamine transporter I;IPR004840 Amino acid permease, conserved site
FUN_000044	IPR002129 Pyridoxal phosphate-dependent decarboxylase;IPR010977 Aromatic-L-amino-acid decarboxylase;IPR015421 Pyridoxal phosphate-dependent transferase, major domain;IPR015422 Pyridoxal phosphate-dependent transferase, small domain;IPR015424 Pyridoxal phosphate-dependent transferase;IPR021115 Pyridoxal-phosphate binding site
FUN_000045	
FUN_000046	IPR019587 Polyketide cyclase/dehydrase;IPR023393 START-like domain superfamily
FUN_000047	IPR012416 CALMODULIN-BINDING PROTEIN60
FUN_000048	IPR004655 Beta-ketoacyl-[acyl-carrier-protein] synthase III;IPR013747 Beta-ketoacyl-[acyl-carrier-protein] synthase III, C-terminal;IPR013751 Beta-ketoacyl-[acyl-carrier-protein] synthase III, N-terminal;IPR016039 Thiolase-like
FUN_000049	
FUN_000050	IPR019448 NT-type C2 domain
FUN_000051	
FUN_000052	IPR000719 Protein kinase domain;IPR001245 Serine-threonine/tyrosine-protein kinase, catalytic domain;IPR008266 Tyrosine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site
FUN_000053	IPR001841 Zinc finger, RING-type;IPR004331 SPX domain;IPR013083 Zinc finger, RING/FYVE/PHD-type;IPR017907 Zinc finger, RING-type, conserved site;IPR018957 Zinc finger, C3HC4 RING-type
FUN_000054	IPR013094 Alpha/beta hydrolase fold-3;IPR029058 Alpha/Beta hydrolase fold
FUN_000055	IPR002213 UDP-glucuronosyl/UDP-glucosyltransferase
FUN_000056	IPR002213 UDP-glucuronosyl/UDP-glucosyltransferase;IPR035595 UDP-glycosyltransferase family, conserved site
FUN_000057	
FUN_000058	IPR027417 P-loop containing nucleoside triphosphate hydrolase
FUN_000059	IPR001518 Argininosuccinate synthase;IPR014729 Rossmann-like alpha/beta/alpha sandwich fold;IPR018223 Argininosuccinate synthase, conserved site;IPR023434 Argininosuccinate synthase, type 1 subfamily;IPR024074 Argininosuccinate synthetase, catalytic/multimerisation domain body
FUN_000060	IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR028203 Photosynthesis system II assembly factor Ycf48/Hcf136-like domain
FUN_000061	
FUN_000062	
FUN_000063	IPR008978 HSP20-like chaperone
FUN_000064	
FUN_000065	
FUN_000066	IPR000719 Protein kinase domain;IPR011009 Protein kinase-like domain superfamily
FUN_000067	IPR004827 Basic-leucine zipper domain
FUN_000068	IPR004827 Basic-leucine zipper domain
FUN_000069	IPR002775 DNA/RNA-binding protein Alba-like;IPR014560 Uncharacterised conserved protein UCP030333, DNA/RNA-binding Alba-related;IPR036882 Alba-like domain superfamily
FUN_000070	
FUN_000071	IPR000172 Glucose-methanol-choline oxidoreductase, N-terminal;IPR007867 Glucose-methanol-choline oxidoreductase, C-terminal;IPR012132 Glucose-methanol-choline oxidoreductase;IPR036188 FAD/NAD(P)-binding domain superfamily
FUN_000072	IPR010251 Magnesium-protoporphyrin IX methyltransferase;IPR010940 Magnesium-protoporphyrin IX methyltransferase, C-terminal;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
FUN_000073	
FUN_000074	IPR000183 Ornithine/DAP/Arg decarboxylase;IPR009006 Alanine racemase/group IV decarboxylase, C-terminal;IPR022644 Orn/DAP/Arg decarboxylase 2, N-terminal;IPR029066 PLP-binding barrel
FUN_000075	
FUN_000076	IPR000183 Ornithine/DAP/Arg decarboxylase;IPR001985 S-adenosylmethionine decarboxylase;IPR002433 Ornithine decarboxylase;IPR009006 Alanine racemase/group IV decarboxylase, C-terminal;IPR016067 S-adenosylmethionine decarboxylase, core;IPR018166 S-adenosylmethionine decarboxylase, conserved site;IPR022643 Orn/DAP/Arg decarboxylase 2, C-terminal;IPR022644 Orn/DAP/Arg decarboxylase 2, N-terminal;IPR022653 Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site;IPR029066 PLP-binding barrel
